FUND_NAME,FUND_CLASSIFICATION,REPORT_PERIOD,MONTHLY_YIELD,AVG_ANNUAL_MANAGEMENT_FEE,TOTAL_ASSETS
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201602,-0.03,0.9,0.03
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201603,1.07,0.9,0.07
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201604,0.81,0.9,0.08
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201605,0.34,0.9,0.18
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201606,0.06,0.9,0.29
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201607,1.83,0.9,1.63
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201608,0.33,0.9,2.0
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201609,-0.49,0.9,2.13
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201610,0.24,0.9,2.16
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201611,-0.27,0.9,2.25
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,קרנות כלליות,201612,1.03,0.9,2.38
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201606,0.0,0.3,4272.08
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201607,0.0,0.3,4401.81
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201608,0.0,0.3,4435.67
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201609,0.0,0.3,4463.06
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201610,0.0,0.3,4493.02
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201611,0.0,0.3,4547.93
הפניקס פנסיה מקיפה - מסלול שיטת הפניקס מאוחד,קרנות חדשות,201612,0.0,0.3,4629.46
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201601,-3.99,0.9,0.34
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201602,-1.3,0.9,0.36
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201603,3.32,0.9,0.4
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201604,0.91,0.9,0.43
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201605,1.41,0.9,0.48
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201606,-2.23,0.9,0.51
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201607,4.5,0.9,0.61
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201608,1.63,0.9,0.99
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201609,-0.75,0.9,1.25
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201610,-0.15,0.9,1.46
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201611,1.76,0.9,1.55
הפניקס פנסיה משלימה - הפניקס מסלול מניות,קרנות כלליות,201612,2.08,0.9,1.67
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201601,0.17,0.9,0.06
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201602,0.39,0.9,0.06
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201603,1.1,0.9,0.06
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201604,1.09,0.9,0.43
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201605,0.31,0.9,0.44
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201606,0.94,0.9,0.45
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201607,1.2,0.9,0.46
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201608,0.01,0.9,0.47
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201609,-0.42,0.9,0.47
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201610,0.29,0.9,0.48
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201611,-0.88,0.9,0.49
"הפניקס פנסיה משלימה - הפניקס מסלול אג""ח",קרנות כלליות,201612,0.69,0.9,0.5
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201601,-0.06,0.9,0.02
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201602,-0.04,0.9,0.02
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201603,-0.07,0.9,0.02
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201604,-0.07,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201605,-0.01,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201606,0.02,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201607,-0.02,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201608,0.0,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201609,0.03,0.9,0.03
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201610,0.0,0.9,0.04
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201611,-0.07,0.9,0.04
הפניקס פנסיה משלימה - הפניקס מסלול שיקלי טווח קצר,קרנות כלליות,201612,0.02,0.9,0.04
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201601,-0.38,0.26,135.58
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201602,-0.09,0.26,137.37
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201603,0.6,0.26,143.88
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201604,0.62,0.26,149.74
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201605,0.34,0.26,154.54
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201606,0.24,0.26,157.42
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201607,0.95,0.26,162.08
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201608,0.03,0.26,164.27
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201609,-0.26,0.26,166.04
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201610,0.14,0.26,168.53
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201611,0.02,0.26,169.81
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201612,0.53,0.26,181.58
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201606,0.73,0.24,405.98
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201607,0.77,0.24,406.91
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201608,0.25,0.24,405.5
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201609,-0.29,0.24,398.77
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201610,0.14,0.24,397.23
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201611,-0.08,0.24,394.95
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201612,0.04,0.24,392.94
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201606,0.01,0.87,0.08
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201607,0.72,0.87,0.08
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201608,-0.82,0.87,0.11
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201609,-0.98,0.87,0.11
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201610,-0.59,0.87,0.1
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201611,-1.82,0.87,0.09
אלטשולר שחם פנסיה כללית מסלול בסיסי למקבלי קצבה קיימים,קרנות כלליות,201612,-0.11,0.87,0.09
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201606,0.7,0.26,27.08
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201607,0.63,0.26,27.13
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201608,0.27,0.26,27.01
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201609,-0.17,0.26,26.72
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201610,0.08,0.26,27.97
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201611,-0.13,0.26,26.39
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201612,0.08,0.26,26.26
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201606,0.3,0.29,85.24
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201607,1.25,0.29,85.53
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201608,0.62,0.29,84.59
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201609,-0.03,0.29,83.69
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201610,0.26,0.29,83.0
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201611,0.6,0.29,83.74
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201612,0.29,0.29,83.11
מגדל מקפת אישית הלכה למקבלי קצבה קיימים ,קרנות חדשות,201611,-0.28,0.29,0.3
מגדל מקפת אישית הלכה למקבלי קצבה קיימים ,קרנות חדשות,201612,0.6,0.29,0.3
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201606,0.76,0.22,4.19
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201607,0.64,0.22,4.19
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201608,0.36,0.22,4.18
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201609,-0.15,0.22,4.15
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201610,0.17,0.22,4.13
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201611,0.0,0.22,4.11
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201612,0.07,0.22,4.09
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201601,-1.81,0.29,22.88
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201602,-1.04,0.29,34.54
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201603,1.06,0.29,64.0
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201604,0.12,0.29,91.83
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201605,0.99,0.29,149.66
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201606,-0.52,0.29,229.49
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201607,1.93,0.29,502.74
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201608,0.06,0.29,724.46
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201609,-0.39,0.29,820.64
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201610,-0.16,0.29,871.4
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201611,0.74,0.29,1005.97
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201612,1.05,0.29,1120.62
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201601,-1.05,0.29,3.83
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201602,-0.85,0.29,5.83
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201603,0.87,0.29,8.89
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201604,0.32,0.29,13.29
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201605,0.69,0.29,20.21
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201606,-0.22,0.29,34.16
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201607,1.29,0.29,189.53
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201608,-0.04,0.29,326.01
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201609,-0.35,0.29,354.6
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201610,-0.17,0.29,365.5
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201611,0.43,0.29,390.61
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201612,0.85,0.29,414.52
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201601,-0.96,0.29,4.78
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201602,-0.34,0.29,14.73
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201603,0.69,0.29,27.93
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201604,0.33,0.29,29.8
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201605,0.51,0.29,42.71
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201606,0.06,0.29,66.59
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201607,1.1,0.29,210.07
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201608,-0.01,0.29,295.11
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201609,-0.35,0.29,307.06
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201610,-0.09,0.29,317.21
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201611,0.15,0.29,329.14
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201612,0.65,0.29,331.77
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201606,0.0,0.26,0.32
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201607,-0.31,0.26,0.95
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201608,-0.13,0.26,1.53
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201609,-1.01,0.26,3.52
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201610,-0.59,0.26,3.47
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201611,-1.23,0.26,8.79
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201612,-0.21,0.26,10.43
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201601,0.0,0.24,0.14
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201602,-0.33,0.24,1.77
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201603,1.12,0.24,6.89
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201604,0.43,0.24,15.25
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201605,1.13,0.24,30.08
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201606,-0.94,0.24,43.01
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201607,2.48,0.24,63.12
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201608,0.46,0.24,82.01
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201609,-0.28,0.24,101.78
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201610,-0.24,0.24,114.59
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201611,1.36,0.24,146.39
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201612,1.22,0.24,173.88
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201601,0.13,0.26,4.58
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201602,0.06,0.26,7.54
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201603,0.07,0.26,9.92
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201604,0.1,0.26,11.99
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201605,0.18,0.26,11.72
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201606,0.19,0.26,13.71
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201607,0.17,0.26,14.84
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201608,0.21,0.26,15.4
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201609,0.07,0.26,17.01
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201610,0.11,0.26,17.72
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201611,0.16,0.26,20.64
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201612,0.06,0.26,17.73
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201601,-2.82,0.81,0.05
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201602,-0.59,0.81,0.46
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201603,1.11,0.81,1.31
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201604,0.27,0.81,1.79
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201605,0.79,0.81,2.73
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201606,-0.57,0.81,4.65
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201607,2.15,0.81,6.7
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201608,-0.07,0.81,12.77
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201609,-0.56,0.81,14.52
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201610,-0.29,0.81,15.6
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201611,0.48,0.81,17.65
מגדל מקפת משלימה לבני 50 ומטה,קרנות כלליות,201612,1.11,0.81,20.01
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201601,-2.25,0.81,0.05
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201602,-0.09,0.81,0.3
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201603,0.95,0.81,0.67
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201604,0.42,0.81,0.72
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201605,0.58,0.81,0.96
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201606,-0.22,0.81,1.58
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201607,1.52,0.81,4.12
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201608,-0.22,0.81,5.84
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201609,-0.46,0.81,6.85
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201610,-0.23,0.81,7.27
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201611,0.1,0.81,7.96
מגדל מקפת משלימה לבני 50 עד 60,קרנות כלליות,201612,0.92,0.81,8.04
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201601,-2.04,0.81,0.05
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201602,-0.37,0.81,0.07
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201603,0.57,0.81,0.2
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201604,0.28,0.81,0.29
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201605,0.14,0.81,1.16
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201606,-0.09,0.81,2.19
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201607,1.35,0.81,4.95
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201608,-0.2,0.81,7.62
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201609,-0.52,0.81,8.69
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201610,-0.14,0.81,8.83
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201611,-0.07,0.81,9.38
מגדל מקפת משלימה לבני 60 ומעלה,קרנות כלליות,201612,0.72,0.81,9.74
כלל פנסיה משלימה עד 50,קרנות כלליות,201601,2.47,0.44,1.7
כלל פנסיה משלימה עד 50,קרנות כלליות,201602,-1.19,0.44,1.76
כלל פנסיה משלימה עד 50,קרנות כלליות,201603,1.28,0.44,3.73
כלל פנסיה משלימה עד 50,קרנות כלליות,201604,0.49,0.44,5.16
כלל פנסיה משלימה עד 50,קרנות כלליות,201605,0.92,0.44,6.65
כלל פנסיה משלימה עד 50,קרנות כלליות,201606,-0.83,0.44,9.49
כלל פנסיה משלימה עד 50,קרנות כלליות,201607,2.23,0.44,12.53
כלל פנסיה משלימה עד 50,קרנות כלליות,201608,-0.19,0.44,14.48
כלל פנסיה משלימה עד 50,קרנות כלליות,201609,-0.48,0.44,16.3
כלל פנסיה משלימה עד 50,קרנות כלליות,201610,-0.26,0.44,17.71
כלל פנסיה משלימה עד 50,קרנות כלליות,201611,0.4,0.44,20.9
כלל פנסיה משלימה עד 50,קרנות כלליות,201612,1.09,0.44,24.39
כלל פנסיה משלימה 50-60,קרנות כלליות,201601,1.98,0.44,0.1
כלל פנסיה משלימה 50-60,קרנות כלליות,201602,-1.32,0.44,0.17
כלל פנסיה משלימה 50-60,קרנות כלליות,201603,1.09,0.44,0.61
כלל פנסיה משלימה 50-60,קרנות כלליות,201604,0.53,0.44,0.83
כלל פנסיה משלימה 50-60,קרנות כלליות,201605,0.68,0.44,1.48
כלל פנסיה משלימה 50-60,קרנות כלליות,201606,-0.7,0.44,3.88
כלל פנסיה משלימה 50-60,קרנות כלליות,201607,1.81,0.44,4.84
כלל פנסיה משלימה 50-60,קרנות כלליות,201608,-0.11,0.44,5.91
כלל פנסיה משלימה 50-60,קרנות כלליות,201609,-0.49,0.44,7.38
כלל פנסיה משלימה 50-60,קרנות כלליות,201610,-0.16,0.44,9.55
כלל פנסיה משלימה 50-60,קרנות כלליות,201611,0.05,0.44,11.8
כלל פנסיה משלימה 50-60,קרנות כלליות,201612,0.76,0.44,16.43
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201601,0.63,0.44,0.18
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201602,-0.63,0.44,0.29
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201603,0.55,0.44,0.81
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201604,0.52,0.44,1.08
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201605,0.36,0.44,1.94
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201606,-0.58,0.44,3.15
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201607,1.22,0.44,4.64
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201608,-0.38,0.44,7.02
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201609,-0.46,0.44,8.13
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201610,-0.04,0.44,8.7
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201611,-0.43,0.44,10.77
כלל פנסיה משלימה 60 ומעלה,קרנות כלליות,201612,0.59,0.44,13.95
כלל פנסיה מניות ,קרנות חדשות,201601,1.64,0.26,0.85
כלל פנסיה מניות ,קרנות חדשות,201602,0.11,0.26,4.44
כלל פנסיה מניות ,קרנות חדשות,201603,1.86,0.26,8.25
כלל פנסיה מניות ,קרנות חדשות,201604,0.45,0.26,10.52
כלל פנסיה מניות ,קרנות חדשות,201605,1.27,0.26,13.45
כלל פנסיה מניות ,קרנות חדשות,201606,-1.0,0.26,15.91
כלל פנסיה מניות ,קרנות חדשות,201607,2.54,0.26,21.91
כלל פנסיה מניות ,קרנות חדשות,201608,0.31,0.26,27.54
כלל פנסיה מניות ,קרנות חדשות,201609,-0.04,0.26,33.05
כלל פנסיה מניות ,קרנות חדשות,201610,-0.29,0.26,35.49
כלל פנסיה מניות ,קרנות חדשות,201611,1.34,0.26,41.2
כלל פנסיה מניות ,קרנות חדשות,201612,1.34,0.26,49.66
"כלל פנסיה אג""ח",קרנות חדשות,201601,0.54,0.26,2.81
"כלל פנסיה אג""ח",קרנות חדשות,201602,0.43,0.26,5.49
"כלל פנסיה אג""ח",קרנות חדשות,201603,0.1,0.26,7.02
"כלל פנסיה אג""ח",קרנות חדשות,201604,0.5,0.26,8.12
"כלל פנסיה אג""ח",קרנות חדשות,201605,0.07,0.26,9.34
"כלל פנסיה אג""ח",קרנות חדשות,201606,0.62,0.26,11.63
"כלל פנסיה אג""ח",קרנות חדשות,201607,0.62,0.26,12.91
"כלל פנסיה אג""ח",קרנות חדשות,201608,-0.03,0.26,14.53
"כלל פנסיה אג""ח",קרנות חדשות,201609,-0.26,0.26,15.94
"כלל פנסיה אג""ח",קרנות חדשות,201610,0.11,0.26,16.24
"כלל פנסיה אג""ח",קרנות חדשות,201611,-0.46,0.26,17.9
"כלל פנסיה אג""ח",קרנות חדשות,201612,0.39,0.26,18.39
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201606,0.6,0.26,64.54
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201607,0.72,0.26,64.68
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201608,0.37,0.26,64.6
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201609,-0.24,0.26,64.13
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201610,0.28,0.26,64.0
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201611,0.25,0.26,63.83
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201612,0.12,0.26,64.77
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201606,0.34,0.26,7.6
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201607,1.0,0.26,7.79
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201608,0.07,0.26,9.2
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201609,-0.22,0.26,8.52
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201610,0.12,0.26,8.79
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201611,-0.29,0.26,8.6
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201612,0.46,0.26,10.9
כלל פנסיה עד 50,קרנות חדשות,201601,1.79,0.26,3.23
כלל פנסיה עד 50,קרנות חדשות,201602,-0.95,0.26,28.27
כלל פנסיה עד 50,קרנות חדשות,201603,1.41,0.26,68.06
כלל פנסיה עד 50,קרנות חדשות,201604,0.43,0.26,128.41
כלל פנסיה עד 50,קרנות חדשות,201605,0.94,0.26,362.51
כלל פנסיה עד 50,קרנות חדשות,201606,-0.54,0.26,579.37
כלל פנסיה עד 50,קרנות חדשות,201607,2.22,0.26,731.04
כלל פנסיה עד 50,קרנות חדשות,201608,0.13,0.26,863.78
